season,season_label,home_away,player,player_id,matches,teams,avg_overall_rating,median_overall_rating,best_overall_rating,worst_overall_rating,starts,motm_awards,eligible_for_leaderboard
2324,2023/2024,away,Alejandro Grimaldo,107252,16,1,7.89125,7.955,8.92,6.81,15,6,True
2324,2023/2024,away,Fabian Bredlow,142529,1,1,7.74,7.74,7.74,7.74,1,0,False
2324,2023/2024,away,Jamal Musiala,395252,12,1,7.73,7.68,10.0,5.9,11,3,True
2324,2023/2024,away,Harry Kane,83532,16,1,7.585,7.475,10.0,6.02,16,1,True
2324,2023/2024,away,Jens Grahl,35452,1,1,7.5,7.5,7.5,7.5,1,0,False
2324,2023/2024,away,Leroy Sané,144711,13,1,7.473846153846154,7.34,8.81,5.83,11,1,True
2324,2023/2024,away,Florian Wirtz,394786,15,1,7.458,7.23,8.59,6.38,12,2,True
2324,2023/2024,away,Serhou Guirassy,236506,13,1,7.405384615384615,7.18,10.0,6.05,12,4,True
2324,2023/2024,away,Dani Olmo,261212,11,1,7.329090909090909,7.26,8.61,6.23,10,0,True
2324,2023/2024,away,Maximilian Mittelstädt,261020,17,1,7.214117647058823,7.14,8.63,6.01,13,1,True
2324,2023/2024,away,Alphonso Davies,320040,14,1,7.182142857142857,7.145,9.08,5.85,12,1,True
2324,2023/2024,away,Loïs Openda,363618,17,1,7.152941176470588,6.85,9.7,6.11,16,4,True
2324,2023/2024,away,Maximilian Beier,387125,17,1,7.151764705882353,7.22,9.07,5.79,15,1,True
2324,2023/2024,away,Oliver Baumann,77440,17,1,7.142941176470588,7.37,8.2,5.71,17,1,True
2324,2023/2024,away,Deniz Undav,357091,16,1,7.1381250000000005,6.825,9.42,5.79,12,1,True
2324,2023/2024,away,Amadou Haidara,298837,12,1,7.1241666666666665,7.105,8.06,6.05,11,1,True
2324,2023/2024,away,Mathys Tel,422885,13,1,7.119230769230769,6.94,8.71,6.14,4,0,True
2324,2023/2024,away,Mitchell Weiser,108914,16,1,7.111875,7.17,8.63,5.7,16,1,True
2324,2023/2024,away,Exequiel Palacios,299684,12,1,7.107500000000001,7.22,8.46,6.04,10,0,True
2324,2023/2024,away,Benjamin Sesko,424191,14,1,7.106428571428571,7.145,8.39,5.86,10,2,True
2324,2023/2024,away,Donyell Malen,351354,12,1,7.1025,6.845000000000001,9.49,5.73,10,3,True
2324,2023/2024,away,Jadon Sancho,346300,8,1,7.10125,7.25,7.91,6.1,6,0,True
2324,2023/2024,away,Victor Boniface,384000,11,1,7.1000000000000005,7.17,8.22,6.03,8,0,True
2324,2023/2024,away,Arthur,437724,3,1,7.1000000000000005,6.82,8.27,6.21,2,0,False
2324,2023/2024,away,Xavi Simons,399772,16,1,7.09875,7.09,8.98,5.25,16,1,True
2324,2023/2024,away,Granit Xhaka,89401,17,1,7.097058823529412,7.23,7.61,6.56,17,0,True
2324,2023/2024,away,Robin Gosens,141726,15,1,7.086666666666667,7.04,9.76,6.03,13,2,True
2324,2023/2024,away,Alexander Schwolow,97743,1,1,7.08,7.08,7.08,7.08,1,0,False
2324,2023/2024,away,Omar Marmoush,394749,13,1,7.062307692307693,6.7,8.51,5.89,12,2,True
2324,2023/2024,away,Nico Schlotterbeck,371275,17,1,7.054705882352941,7.09,8.37,6.22,17,1,True
2324,2023/2024,away,Anton Stach,401073,17,2,7.046470588235294,7.04,7.79,6.32,14,0,True
2324,2023/2024,away,Jeremie Frimpong,392644,15,1,7.04,7.1,8.03,5.88,13,2,True
2324,2023/2024,away,Odilon Kossounou,384516,10,1,7.0329999999999995,7.074999999999999,7.64,6.0,9,0,True
2324,2023/2024,away,Joshua Kimmich,283323,14,1,7.027142857142857,6.795,8.77,6.15,13,1,True
2324,2023/2024,away,Daniel Batz,91023,2,1,7.005000000000001,7.005000000000001,7.03,6.98,2,0,False
2324,2023/2024,away,Yannik Keitel,389375,7,1,7.002857142857143,6.93,7.8,6.16,5,1,True
2324,2023/2024,away,David Raum,330538,16,1,7.000624999999999,7.08,8.33,6.13,16,1,True
2324,2023/2024,away,Michael Zetterer,280191,14,1,6.996428571428572,7.005,8.13,5.82,14,0,True
2324,2023/2024,away,Josip Stanisic,413272,12,1,6.9875,6.699999999999999,9.34,6.03,9,2,True
2324,2023/2024,away,Ian Maatsen,384134,9,1,6.985555555555555,6.97,8.43,6.06,8,1,True
2324,2023/2024,away,Florian Grillitsch,291937,14,1,6.984285714285714,6.984999999999999,9.14,5.88,12,0,True
2324,2023/2024,away,Jeff Chabot,343317,16,1,6.9725,7.04,8.0,5.64,16,2,True
2324,2023/2024,away,Mats Hummels,21541,10,1,6.970000000000001,6.5600000000000005,8.62,6.15,8,2,True
2324,2023/2024,away,Min-Jae Kim,370912,14,1,6.964285714285714,6.945,7.56,5.89,14,0,True
2324,2023/2024,away,Sepp van den Berg,351705,16,1,6.960625,7.02,8.28,5.59,14,0,True
2324,2023/2024,away,Leon Goretzka,115519,16,1,6.9525,6.635,9.54,5.93,15,2,True
2324,2023/2024,away,Niklas Beste,353193,16,1,6.948125,6.9,8.52,5.97,16,2,True
2324,2023/2024,away,Waldemar Anton,296768,16,1,6.9475,6.885,8.2,5.82,16,1,True
2324,2023/2024,away,Jonas Hofmann,115163,15,1,6.947333333333334,7.11,8.06,5.99,11,0,True
2324,2023/2024,away,Ritsu Doan,343435,16,1,6.93875,6.6899999999999995,8.16,5.93,12,1,True
2324,2023/2024,away,Lukás Hrádecký,64846,17,1,6.9276470588235295,6.88,8.08,5.7,17,0,True
2324,2023/2024,away,Marcel Sabitzer,92051,12,1,6.91,6.859999999999999,7.93,5.67,12,1,True
2324,2023/2024,away,Noah Atubolu,428308,17,1,6.901764705882353,6.98,8.76,4.73,17,2,True
2324,2023/2024,away,Marco Friedl,333227,12,1,6.900833333333334,6.715,7.92,6.17,12,2,True
2324,2023/2024,away,Patrik Schick,243565,9,1,6.9,6.94,8.06,5.94,7,0,True
2324,2023/2024,away,Jonas Wind,353565,17,1,6.898823529411764,6.72,8.62,5.95,15,2,True
2324,2023/2024,away,Julian Ryerson,320436,10,1,6.897,6.505000000000001,8.51,5.85,9,2,True
2324,2023/2024,away,Piero Hincapié,404832,12,1,6.8933333333333335,6.91,7.57,6.0,9,0,True
2324,2023/2024,away,Fredrik Jensen,322087,9,1,6.892222222222222,6.45,8.57,5.95,8,0,True
2324,2023/2024,away,Michael Gregoritsch,84919,15,1,6.89,6.77,8.65,5.8,11,3,True
2324,2023/2024,away,Max Finkgräfe,497562,12,1,6.886666666666667,6.725,8.29,5.97,8,2,True
2324,2023/2024,away,Frederik Rønnow,81842,16,1,6.88,6.83,8.28,5.4,16,1,True
2324,2023/2024,away,Bernardo,302588,16,1,6.875625,7.17,7.84,4.5,16,1,True
2324,2023/2024,away,Jonathan Tah,134946,15,1,6.875333333333333,6.87,8.1,6.28,14,0,True
2324,2023/2024,away,Franck Honorat,137837,15,1,6.874666666666667,6.67,8.06,5.91,14,2,True
2324,2023/2024,away,Tim Kleindienst,129368,16,1,6.87375,6.685,9.13,6.07,16,1,True
2324,2023/2024,away,Dan-Axel Zagadou,342548,9,1,6.871111111111111,6.91,7.52,6.23,8,0,True
2324,2023/2024,away,Phillip Tietz,298145,17,1,6.857647058823529,6.36,9.58,5.96,15,2,True
2324,2023/2024,away,Ermedin Demirovic,351339,17,1,6.856470588235294,6.78,9.19,6.01,17,0,True
2324,2023/2024,away,Gregor Kobel,336028,13,1,6.851538461538461,6.86,8.05,5.71,13,1,True
2324,2023/2024,away,Andrej Kramaric,75217,15,1,6.849333333333333,6.74,8.08,5.14,13,0,True
2324,2023/2024,away,Jonas Omlin,366704,3,1,6.846666666666667,6.72,7.38,6.44,3,0,False
2324,2023/2024,away,Kevin Stöger,104011,16,1,6.84625,6.8149999999999995,9.03,5.5,16,0,True
2324,2023/2024,away,Kingsley Coman,125883,8,1,6.845,6.6850000000000005,8.07,5.82,8,1,True
2324,2023/2024,away,Hendry Blank,491397,1,1,6.84,6.84,6.84,6.84,0,0,False
2324,2023/2024,away,Danilho Doekhi,303076,12,1,6.835833333333333,6.66,8.3,5.96,12,1,True
2324,2023/2024,away,Pavel Kaderábek,90548,15,1,6.835333333333334,6.77,8.89,5.91,15,0,True
2324,2023/2024,away,Benjamin Henrichs,296769,17,1,6.833529411764706,6.81,8.19,5.87,16,0,True
2324,2023/2024,away,Chris Führich,349888,17,1,6.830588235294118,6.72,8.23,6.08,16,1,True
2324,2023/2024,away,Patrick Mainka,361425,17,1,6.828235294117647,6.78,7.71,6.13,17,1,True
2324,2023/2024,away,Wout Weghorst,115479,15,1,6.826666666666667,6.55,8.11,6.02,13,1,True
2324,2023/2024,away,Alassane Pléa,108585,12,1,6.816666666666666,6.494999999999999,9.54,5.61,12,1,True
2324,2023/2024,away,Florian Neuhaus,319448,11,1,6.81,6.4,8.44,5.87,7,1,True
2324,2023/2024,away,Eric Martel,404336,15,1,6.804,7.03,8.01,5.0,14,1,True
2324,2023/2024,away,Keven Schlotterbeck,369556,13,1,6.795384615384616,6.68,7.43,5.99,12,0,True
2324,2023/2024,away,Niclas Füllkrug,104058,15,2,6.794,6.79,7.24,5.72,14,0,True
2324,2023/2024,away,Skelly Alvero,489202,3,1,6.793333333333333,6.49,7.68,6.21,0,0,False
2324,2023/2024,away,Enzo Millot,398374,15,1,6.79,6.61,8.37,5.9,14,0,True
2324,2023/2024,away,Marcel Schuhen,115570,15,1,6.787999999999999,6.87,8.18,5.47,15,1,True
2324,2023/2024,away,Amine Adli,389409,11,1,6.775454545454545,6.76,8.2,5.84,3,1,True
2324,2023/2024,away,Julian Brandt,141556,16,1,6.774375,6.745,7.62,6.01,14,0,True
2324,2023/2024,away,Davie Selke,137852,10,1,6.770999999999999,6.535,8.11,5.99,9,1,True
2324,2023/2024,away,Moritz Nicolas,322881,14,1,6.767857142857143,6.635,8.32,5.53,14,1,True
2324,2023/2024,away,Tim Skarke,285654,16,1,6.76,6.85,8.63,5.7,15,1,True
2324,2023/2024,away,Timo Hübers,296983,15,1,6.758666666666667,6.82,7.45,5.7,15,0,True
2324,2023/2024,away,Nathan Tella,395472,11,1,6.758181818181819,6.4,8.85,6.03,5,1,True
2324,2023/2024,away,Nico Elvedi,243534,15,1,6.755333333333334,6.84,7.5,5.38,14,0,True
2324,2023/2024,away,Edmond Tapsoba,369446,13,1,6.747692307692308,6.66,7.81,5.99,9,0,True
2324,2023/2024,away,Julian Weigl,142318,17,1,6.746470588235294,6.72,7.52,5.79,17,0,True
2324,2023/2024,away,Emre Can,111212,11,1,6.744545454545454,6.54,7.53,6.1,9,0,True
2324,2023/2024,away,Marvin Ducksch,115509,16,1,6.734375,6.66,8.02,5.78,15,0,True
2324,2023/2024,away,Serge Gnabry,119501,5,1,6.734,6.45,7.69,6.04,2,0,True
2324,2023/2024,away,Hiroki Ito,422717,13,1,6.7215384615384615,6.76,7.67,5.77,12,0,True
2324,2023/2024,away,Ozan Kabak,356743,16,1,6.711875,6.6899999999999995,7.71,4.98,16,0,True
2324,2023/2024,away,Willi Orbán,104917,11,1,6.710909090909092,6.53,8.02,6.08,10,0,True
2324,2023/2024,away,Luca Pfeiffer,400876,9,1,6.71,6.61,8.39,5.96,7,0,True
2324,2023/2024,away,Kevin Mbabu,115230,13,1,6.706153846153845,6.66,8.05,5.84,11,1,True
2324,2023/2024,away,Junior Dina Ebimbe,372927,16,1,6.7,6.6850000000000005,8.15,5.92,12,1,True
2324,2023/2024,away,Sasa Kalajdzic,377271,4,1,6.7,6.715,7.33,6.04,4,0,False
2324,2023/2024,away,Jan Schöppner,401079,12,1,6.699166666666667,6.835,7.25,6.06,11,0,True
2324,2023/2024,away,Manuel Gulde,77451,12,1,6.696666666666666,6.735,7.53,6.01,9,0,True
2324,2023/2024,away,Kevin Trapp,66424,16,1,6.69625,6.24,8.66,5.71,16,1,True
2324,2023/2024,away,Niels Nkounkou,386262,14,1,6.695714285714286,6.465,8.41,5.81,8,1,True
2324,2023/2024,away,Aleksandar Pavlovic,481079,9,1,6.694444444444445,6.81,7.26,6.07,8,0,True
2324,2023/2024,away,Kristijan Jakic,402665,10,2,6.6930000000000005,6.305,8.86,6.1,7,1,True
2324,2023/2024,away,Nadiem Amiri,261021,10,2,6.691,6.58,7.78,6.01,6,0,True
2324,2023/2024,away,Xaver Schlager,262856,13,1,6.68923076923077,6.65,7.47,5.37,13,0,True
2324,2023/2024,away,Grischa Prömel,278125,13,1,6.689230769230769,6.7,8.37,4.81,12,1,True
2324,2023/2024,away,Kevin Behrens,261246,15,2,6.685999999999999,6.39,8.62,5.89,10,1,True
2324,2023/2024,away,Marvin Schwäbe,249897,17,1,6.68235294117647,6.66,7.82,5.32,17,0,True
2324,2023/2024,away,Christian Kühlwetter,401078,1,1,6.68,6.68,6.68,6.68,0,0,False
2324,2023/2024,away,Benedikt Gimber,291623,12,1,6.677499999999999,6.609999999999999,8.49,5.61,12,1,True
2324,2023/2024,away,Diogo Leite,361852,16,1,6.675,6.47,7.57,5.91,15,0,True
2324,2023/2024,away,Eren Dinkçi,408357,16,1,6.674375,6.609999999999999,7.67,5.8,16,0,True
2324,2023/2024,away,Nicolas Höfler,90982,13,1,6.673076923076923,6.77,7.39,6.08,12,0,True
2324,2023/2024,away,Ellyes Skhiri,238903,13,1,6.6692307692307695,6.44,7.98,6.19,11,0,True
2324,2023/2024,away,Kevin Akpoguma,132349,9,1,6.667777777777777,6.4,7.48,6.0,6,0,True
2324,2023/2024,away,Rubén Vargas,381550,15,1,6.667333333333334,6.45,8.61,5.97,12,0,True
2324,2023/2024,away,Brajan Gruda,471784,15,1,6.667333333333333,6.48,7.85,6.26,9,1,True
