league,season,season_label,team,player,player_id,appearances,age,age_ref,data_source
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Adrian Beck,277999,28,26.81,26.8145106091718,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Benedikt Gimber,220716,29,27.36,27.359342915811087,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Christian Kühlwetter,288794,9,28.19,28.191649555099247,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Denis Thomalla,151122,26,31.87,31.871321013004792,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Eren Dinkci,312112,33,22.55,22.546201232032853,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Florian Pick,122397,34,28.89,28.892539356605067,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Frank Feller,334262,1,20.0,19.99726214921287,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Jan Schöppner,291798,34,24.57,24.566735112936346,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Jonas Föhrenbach,220815,33,28.43,28.427104722792606,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Kevin Müller,149276,34,33.3,33.295003422313485,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Kevin Sessa,271855,32,24.06,24.06297056810404,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Lennard Maloney,267798,29,24.89,24.889801505817932,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Luka Janes,371370,5,20.45,20.44626967830253,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Marnon Busch,208176,21,29.88,29.883641341546884,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Marvin Pieringer,312389,31,25.22,25.22381930184805,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Niklas Beste,231190,31,25.25,25.248459958932237,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Nikola Dovedan,238281,30,30.06,30.064339493497606,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Norman Theuerkauf,117279,33,37.43,37.43189596167009,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Omar-Haktab Traoré,291914,32,26.25,26.245037645448324,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Patrick Mainka,184075,34,30.05,30.053388090349078,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Seedy Jarju,367577,1,19.67,19.67145790554415,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Stefan Schimmer,261221,34,30.17,30.17385352498289,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Thomas Keller,291737,6,25.15,25.14715947980835,ESPN
GER-Bundesliga,2324,2023/2024,1. FC Heidenheim 1846,Tim Kleindienst,185906,33,28.83,28.83230663928816,ESPN
