season,season_label,game_id,game,team,home_away,player,player_id,overall_rating,is_starting_xi,is_man_of_the_match
2324,2023/2024,1743472,2023-11-04 Borussia Dortmund-Bayern Munich,Bayern,away,Harry Kane,83532,10.0,True,True
2324,2023/2024,1743687,2024-05-12 Darmstadt-Hoffenheim,Hoffenheim,away,Ihlas Bebou,132021,10.0,True,True
2324,2023/2024,1743624,2024-03-16 Darmstadt-Bayern Munich,Bayern,away,Jamal Musiala,395252,10.0,True,True
2324,2023/2024,1743447,2023-10-07 RB Leipzig-Bochum,Bochum,away,Manuel Riemann,128289,10.0,True,True
2324,2023/2024,1743422,2023-09-16 Mainz 05-VfB Stuttgart,Stuttgart,away,Serhou Guirassy,236506,10.0,True,True
2324,2023/2024,1743658,2024-04-20 Hoffenheim-Borussia M.Gladbach,Borussia M.Gladbach,away,Robin Hack,346210,9.78,True,True
2324,2023/2024,1743408,2023-08-26 Darmstadt-Union Berlin,Union Berlin,away,Robin Gosens,141726,9.76,True,True
2324,2023/2024,1743636,2024-04-06 Freiburg-RB Leipzig,RBL,away,Loïs Openda,363618,9.7,True,True
2324,2023/2024,1743606,2024-03-02 Darmstadt-Augsburg,Augsburg,away,Phillip Tietz,298145,9.58,True,True
2324,2023/2024,1743442,2023-09-30 Bochum-Borussia M.Gladbach,Borussia M.Gladbach,away,Alassane Pléa,108585,9.54,True,True
2324,2023/2024,1743653,2024-04-20 Union Berlin-Bayern Munich,Bayern,away,Leon Goretzka,115519,9.54,True,True
2324,2023/2024,1743504,2024-01-20 FC Koln-Borussia Dortmund,Borussia Dortmund,away,Donyell Malen,351354,9.49,True,True
2324,2023/2024,1743519,2024-02-03 Freiburg-VfB Stuttgart,Stuttgart,away,Deniz Undav,357091,9.42,True,True
2324,2023/2024,1743685,2024-05-12 Bochum-Bayer Leverkusen,Leverkusen,away,Josip Stanisic,413272,9.34,True,True
2324,2023/2024,1743626,2024-03-30 RB Leipzig-Mainz 05,Mainz,away,Robin Zentner,245634,9.31,True,True
2324,2023/2024,1743595,2024-02-18 Bochum-Bayern Munich,Bayern,away,Jamal Musiala,395252,9.25,True,True
2324,2023/2024,1743606,2024-03-02 Darmstadt-Augsburg,Augsburg,away,Ermedin Demirovic,351339,9.19,True,False
2324,2023/2024,1743653,2024-04-20 Union Berlin-Bayern Munich,Bayern,away,Harry Kane,83532,9.18,True,False
2324,2023/2024,1743687,2024-05-12 Darmstadt-Hoffenheim,Hoffenheim,away,Florian Grillitsch,291937,9.14,True,False
2324,2023/2024,1743621,2024-03-15 FC Koln-RB Leipzig,RBL,away,Loïs Openda,363618,9.14,True,True
2324,2023/2024,1743633,2024-03-31 VfB Stuttgart-FC Heidenheim,FC Heidenheim,away,Tim Kleindienst,129368,9.13,True,True
2324,2023/2024,1743393,2023-08-18 Werder Bremen-Bayern Munich,Bayern,away,Alphonso Davies,320040,9.08,True,True
2324,2023/2024,1743687,2024-05-12 Darmstadt-Hoffenheim,Hoffenheim,away,Maximilian Beier,387125,9.07,True,False
2324,2023/2024,1743694,2024-05-18 Werder Bremen-Bochum,Bochum,away,Kevin Stöger,104011,9.03,True,False
2324,2023/2024,1743410,2023-09-03 Union Berlin-RB Leipzig,RBL,away,Xavi Simons,399772,8.98,True,True
2324,2023/2024,1743439,2023-09-30 Mainz 05-Bayer Leverkusen,Leverkusen,away,Alejandro Grimaldo,107252,8.92,True,True
2324,2023/2024,1743687,2024-05-12 Darmstadt-Hoffenheim,Hoffenheim,away,Pavel Kaderábek,90548,8.89,True,False
2324,2023/2024,1743619,2024-03-16 Wolfsburg-Augsburg,Augsburg,away,Kristijan Jakic,402665,8.86,True,True
2324,2023/2024,1743525,2024-02-03 Darmstadt-Bayer Leverkusen,Leverkusen,away,Nathan Tella,395472,8.85,True,True
2324,2023/2024,1743621,2024-03-15 FC Koln-RB Leipzig,RBL,away,Xavi Simons,399772,8.83,True,False
2324,2023/2024,1743393,2023-08-18 Werder Bremen-Bayern Munich,Bayern,away,Leroy Sané,144711,8.81,True,False
2324,2023/2024,1743600,2024-03-02 Wolfsburg-VfB Stuttgart,Stuttgart,away,Serhou Guirassy,236506,8.8,True,True
2324,2023/2024,1743413,2023-09-02 Borussia M.Gladbach-Bayern Munich,Bayern,away,Joshua Kimmich,283323,8.77,True,True
2324,2023/2024,1743413,2023-09-02 Borussia M.Gladbach-Bayern Munich,Bayern,away,Leroy Sané,144711,8.77,True,False
2324,2023/2024,1743674,2024-05-04 FC Koln-Freiburg,Freiburg,away,Noah Atubolu,428308,8.76,True,True
2324,2023/2024,1743653,2024-04-20 Union Berlin-Bayern Munich,Bayern,away,Mathys Tel,422885,8.71,True,False
2324,2023/2024,1743653,2024-04-20 Union Berlin-Bayern Munich,Bayern,away,Thomas Müller,37099,8.68,True,False
